identifier	gene_symbol	chromosome	status	n_obs	molecular_weight	gravy	pI	rna_detected_percent	highest_tpm	description	learned_canonical_prob
AT3G02390.1	F4J8E0	3	not observed		6.570430300000002	-1.0403508771929826	10.104017066955567	0.02	0.2356	hypothetical protein	0.00014228051022806761
AT3G02493.1	Q6X5U1	3	not observed		5.472617399999999	-0.7133333333333332	10.29671306610107	58.19	125.6843	ROTUNDIFOLIA like 19	0.0018702358488972848
AT3G02555.1	Q8LF93	3	not observed		17.74398989999998	-0.4154320987654319	9.541401481628416	99.96	243.4261	hypothetical protein	0.9309502865389679
AT3G02590.1	SC5D2	3	not observed		33.11054080000005	0.2358422939068094	6.864695167541504	60.36	52.9894	Fatty acid hydroxylase superfamily protein	0.31290690537140253
AT3G02645.1	Y3264	3	not observed		61.39797120000016	-0.1612476370510403	5.536936378479003	41.88	8.2577	transmembrane protein%2C putative (DUF247)	0.44951122037534746
AT3G02677.1	A0A1I9LQ93	3	not observed		11.137493099999986	-0.8806122448979592	11.004704856872555	83.36	71.7295	hypothetical protein	0.0103206618412339
AT3G02800.1	DSP3	3	not observed		23.5099809	-0.3935960591133005	8.629109382629395	99.58	726.6397	Tyrosine phosphatase family protein	0.865002689229315
AT3G02940.1	Q9LDI5	3	not observed		36.62750800000008	-0.751401869158879	6.19598445892334	63.56	158.4678	myb domain protein 107	0.40810122895019435
AT3G02960.1	HIP8	3	not observed		27.87250130000003	-1.094308943089432	9.345804405212402	3.86	5.811	Heavy metal transport/detoxification superfamily protein	0.05089834154414779
AT3G03020.1	Q8GUN0	3	not observed		7.663379899999994	-0.4	6.88845386505127	99.93	332.2046	hypothetical protein	0.8714684790895623
AT3G03272.1	A7RED5	3	not observed		12.754525199999986	0.4958333333333333	4.214861488342286	66.72	59.7554	prolamin-like protein (DUF1278)	0.008222956419887668
AT3G03280.1	Q9M9P6	3	not observed		18.244701599999992	-0.3180722891566265	6.514339637756348	66.68	465.6697	hypothetical protein	0.7406192854632256
AT3G03360.1	FBL42	3	not observed		42.05379210000007	-0.0143631436314362	8.887563133239748	99.98	202.4305	F-box/RNI-like superfamily protein	0.9759222354590391
AT3G03400.1	CML33	3	not observed		15.067780999999991	-0.232846715328467	4.3991903305053714	7.83	48.5419	EF hand calcium-binding protein family	0.043014649469850244
AT3G03405.1	F4J135	3	not observed		22.10943780000001	-0.3170984455958548	9.431611824035643	1.8	3.3783	F-box associated ubiquitination effector family protein	0.023227364504585152
AT3G03410.1	CML34	3	not observed		14.73133179999999	-0.2694656488549617	4.259821128845215	2.96	782.6607	EF hand calcium-binding protein family	0.2009305393241829
AT3G03510.1	Y3351	3	not observed		51.92658210000009	-0.1795604395604396	6.585104179382324	12.8	25.0506	Phototropic-responsive NPH3 family protein	0.2891229559449809
AT3G03726.1	F4J173	3	not observed		33.0707604	0.0294117647058822	5.355563163757325	21.01	9.5653	F-box/kelch-repeat protein%2C putative (DUF295)	0.12937558924003867
AT3G03730.1	KIB4	3	not observed		44.83585719999999	-0.2730279898218832	8.711564445495604	4.78	5.5682	F-box/kelch-repeat protein%2C putative (DUF295)	0.03067192693015858
AT3G03776.1	F4J2C0	3	not observed		17.783222299999984	-0.8878205128205119	9.41620388031006	88.97	30.4921	hydroxyproline-rich glycoprotein family protein	0.09773801297059681
AT3G03820.1	Q9SRV9	3	not observed		10.449075399999996	-0.0395833333333333	9.516194343566896	91.31	457.2639	SAUR-like auxin-responsive protein family	0.3849127465710914
AT3G03826.1	B3H4D2	3	not observed		8.545253599999999	0.5226666666666665	8.225537300109863	3.08	6.6478	transmembrane protein	0.018417054191157335
AT3G03830.1	SAU28	3	not observed		10.283901099999996	-0.0413043478260869	9.30054759979248	76.26	375.4111	SAUR-like auxin-responsive protein family	0.38202448194480426
AT3G03840.1	Q9SRW1	3	not observed		10.414962999999997	0.0326315789473683	8.851654243469238	83.52	399.6534	SAUR-like auxin-responsive protein family	0.4956887836138976
AT3G03847.1	Q3EBC5	3	not observed		14.516554299999989	-0.1656488549618321	9.199783515930177	16.06	8.8545	SAUR-like auxin-responsive protein family	0.019867536690661183
AT3G03850.1	Q6NMM4	3	not observed		10.199801199999994	0.0236559139784946	9.032101249694826	83.71	425.0681	SAUR-like auxin-responsive protein family	0.47766742088863573
AT3G04181.1	B3H4V9	3	not observed		10.887964099999994	-0.4826530612244898	5.877629280090332	95.31	77.4342	hypothetical protein	0.24825533256325932
AT3G04184.1	B3H617	3	not observed		5.8805592	-0.3679245283018867	5.27041835784912	95.86	299.8494	hypothetical protein	0.054048574426192486
AT3G04250.1	Q9M8Y1	3	not observed		34.38413950000002	-0.5068493150684934	9.136926841735844	10.31	4.2849	F-box associated ubiquitination effector family protein	0.05530326896149367
AT3G04270.1	F4J3M3	3	not observed		6.675971200000002	-0.4559322033898303	9.723266792297364	2.56	18.2149	two-component response regulator ARR22-like protein	0.001092186661728839
AT3G04310.1	Q9M8Y7	3	not observed		30.806515200000007	-0.5278810408921931	7.560631752014161	99.82	26.6266	transmembrane protein	0.9470502490994258
AT3G04330.1	KTI7	3	not observed		22.913823700000005	-0.3198019801980198	5.904627799987793	43.22	4995.5481	Kunitz family trypsin and protease inhibitor protein	0.8329478344068846
AT3G04390.1	Q9M847	3	not observed		8.575757899999997	-0.0012658227848102	8.068105506896973	9.22	47.8974	Aldehyde oxidase/xanthine dehydrogenase%2C molybdopterin binding protein	0.14783188262985802
AT3G04410.1	Q9M846	3	not observed		8.725450399999998	-0.8736842105263157	4.6430864334106445	50.19	37.9858	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	0.10370468757351549
AT3G04430.1	Q9M844	3	not observed		22.505736499999998	-0.7732323232323234	5.607303047180175	14.68	13.1833	NAC domain containing protein 49	0.061324274080497385
AT3G04443.1	A0A1I9LLJ8	3	not observed		11.214422299999992	-0.246938775510204	9.6788480758667	40.51	1.1818	hypothetical protein	0.0038308729537413076
AT3G04530.1	PPCK2	3	not observed		31.198417200000044	-0.1618705035971222	5.115645790100097	80.86	267.5373	phosphoenolpyruvate carboxylase kinase 2	0.8342392236266649
AT3G04735.1	RLF21	3	not observed		11.950932799999986	-0.2895238095238096	9.798436927795407	14.23	54.9366	RALF-like 21	0.058880656931732445
AT3G04854.1	B3H6R6	3	not observed		4.059772600000001	0.8277777777777778	6.505643272399902	97.14	85.6997	hypothetical protein	0.001567665088337237
AT3G04855.1	B3H4X9	3	not observed		5.187974400000001	-1.1477272727272725	9.9959680557251	20.87	50.714	hypothetical protein	0.0015444190274027823
AT3G04903.1	DF317	3	not observed		9.847728399999998	0.2229885057471264	8.138376045227051	11.18	4.4351	Defensin-like (DEFL) family protein	0.03070911700141163
AT3G04990.1	Q9CAW3	3	not observed		26.308820500000028	-0.9180616740088112	5.8874624252319325	14.19	39.2718	intracellular protein transporter	0.2009569758200701
AT3G05110.1	Q9MAA8	3	not observed		43.07659050000006	-0.8236559139784944	4.994124031066893	64.43	90.3911	early endosome antigen-like protein%2C putative (DUF3444)	0.3991355364399676
AT3G05327.1	Q1G3M7	3	not observed		24.423911800000024	-0.3037735849056608	9.18095874786377	93.72	22.0156	Cyclin family protein	0.2565137334840503
AT3G05365.1	A0A1I9LT73	3	not observed		8.744254299999996	-0.4716216216216217	10.029942893981932	88.42	17.1298	hypothetical protein	0.003172520250907055
AT3G05425.1	B3H6C0	3	not observed		4.8736684	0.0534883720930231	6.511156654357909	2.31	8.4521	hypothetical protein	0.010078683991495585
AT3G05440.1	Q9MA57	3	not observed		14.274220699999988	-0.3336065573770492	9.050023460388182	8.27	29.7465	C2 domain-containing protein	0.059276547534416094
AT3G05685.1	F4J8G8	3	not observed		21.412609900000003	-0.8672222222222226	5.122693824768065	99.58	67.2112	Cystatin/monellin superfamily protein	0.702635184353415
AT3G05725.1	Q5XVC1	3	not observed		14.990388199999993	-0.9532258064516134	10.60300235748291	11.63	1412.7875	hypothetical protein (DUF3511)	0.2852461948984421
AT3G05746.1	B3H6G2	3	not observed		5.901789900000001	0.0557692307692307	4.949903297424315	24.31	11.6144	hypothetical protein	0.003958773581527069
AT3G05770.1	Q9M9L9	3	not observed		46.93312210000003	-0.7870731707317076	8.704666328430175	56.62	211.5464	hypothetical protein	0.5517387305694277
AT3G05775.1	A0A1I9LME3	3	not observed		15.07914929999998	-0.1455223880597012	7.768207740783692	4.78	4.8164	lon protease-like protein	0.06715706508478153
AT3G05860.1	F4J9K3	3	not observed		30.416060200000025	-0.9084615384615384	7.181004142761232	41.07	79.0817	MADS-box transcription factor family protein	0.28585433943355326
AT3G05880.1	RCI2A	3	not observed		5.962301699999999	1.6407407407407404	5.817834663391113	100.0	2347.3754	Low temperature and salt responsive protein family	0.0032145687646123904
AT3G05890.1	RCI2B	3	not observed		6.081505299999997	1.553703703703703	7.769742393493654	98.63	2990.3184	Low temperature and salt responsive protein family	0.0010406566552958994
AT3G05920.1	HIP43	3	not observed		13.434669199999982	-0.2611111111111109	7.537555122375489	59.32	379.4371	Heavy metal transport/detoxification superfamily protein	0.6864233139396403
AT3G05936.1	Q1G3B3	3	not observed		13.392454299999986	-0.9283185840707971	11.694516563415526	97.29	126.6637	hypothetical protein	0.1743383966872804
AT3G05937.1	Q3EBC0	3	not observed		6.667101499999998	-0.4339622641509432	11.939238548278809	99.29	281.0757	hypothetical protein	0.053926888899302326
AT3G06000.1	Q9SFG4	3	not observed		23.565585700000018	-0.0962085308056871	4.565217018127441	1.97	6.1305	RNI-like superfamily protein	0.027256065335219178
AT3G06019.1	B3H758	3	not observed		4.2228127	-1.1055555555555552	8.838953971862793	1.97	3.8761	hypothetical protein	0.004035863098801811
AT3G06020.1	FAF4	3	not observed		33.89492270000002	-0.9116666666666664	4.878399848937988	96.72	260.0457	FANTASTIC four-like protein (DUF3049)	0.633426738983584
AT3G06070.1	Q8LED7	3	not observed		17.450104599999992	-0.8695364238410597	7.144342994689941	98.4	831.2607	hypothetical protein	0.8413566417495814
AT3G06085.1	A0A1I9LNA0	3	not observed		9.198529399999996	-0.8454545454545458	10.116137123107908	2.56	0.7227	hypothetical protein	0.0015226080089508324
AT3G06090.1	Q9M8K9	3	not observed		8.865329299999996	-0.4645569620253164	9.965216636657717	24.89	35.3777	transmembrane protein	0.007933623600580749
AT3G06120.1	MUTE	3	not observed		22.842263700000014	-0.042079207920792	9.27379322052002	79.76	10.6495	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.0549916802917832
AT3G06140.1	LUL4	3	not observed		41.00473050000004	-0.6568245125348182	5.908436012268066	99.77	57.4534	RING/U-box superfamily protein	0.9066756434686686
AT3G06230.1	M2K8	3	not observed		32.52015920000005	-0.1453924914675767	6.150115394592285	3.42	3.7133	MAP kinase kinase 8	0.05996812776751522
AT3G06280.1	Q9M8J0	3	not observed		22.79654720000001	-0.2308080808080809	5.500957298278808	9.43	11.996	F-box associated ubiquitination effector family protein	0.06892539358115422
AT3G06360.1	AGP27	3	not observed		12.87644059999998	0.4632	4.0500284194946286	96.86	91.8694	arabinogalactan protein 27	0.022234506334540858
AT3G06435.1	Q3EBB7	3	not observed		23.017185799999996	0.8100000000000008	9.43406162261963	89.65	5840.1516	Expressed protein	0.546159281683678
AT3G06436.1	A0A1I9LQ30	3	not observed		11.581702299999986	-0.8430000000000004	7.947033882141112	1.48	1.8236	hypothetical protein	0.036908573758233525
AT3G06455.1	F4JAX0	3	not observed		37.7314232	-0.5959420289855071	8.670949363708495	99.95	215.7685	ubiquitin family protein	0.9431824397217625
AT3G06520.1	Q9C8Z3	3	not observed		54.2156608	-0.6463519313304724	7.512489128112794	99.54	41.8192	agenet domain-containing protein	0.8675882353482012
AT3G06545.1	F4JC04	3	not observed		21.625919600000003	0.3413612565445023	5.658003425598144	37.88	98.8532	transmembrane protein	0.38340020361567445
AT3G06560.1	PAPS3	3	not observed		57.70296879999999	-0.1571992110453647	9.032036781311035	33.53	22.6276	poly(A) polymerase 3	0.1538595734321246
AT3G06570.1	FBK51	3	not observed		44.55723130000005	-0.2446153846153849	5.953736686706543	99.93	120.3165	Galactose oxidase/kelch repeat superfamily protein	0.9802778613139358
AT3G06710.1	Q6E260	3	not observed		27.801844000000024	0.6971428571428574	9.281271553039552	98.48	14.1782	E3 ubiquitin ligase	0.1714251188197476
AT3G06750.1	Q9M7Y1	3	not observed		15.636563499999994	-0.1435374149659866	5.496353340148924	99.72	2371.0256	hydroxyproline-rich glycoprotein family protein	0.8979453286612492
AT3G06840.1	Q8LFJ2	3	not observed		21.3701227	-0.7278074866310161	10.181443595886227	97.88	99.4042	hypothetical protein	0.4489864528447596
AT3G06895.1	Q9M909	3	not observed		5.769682100000001	-0.3333333333333332	11.480223655700684	61.27	35966.8872	syntaxin KNOLLE-like protein	0.00017538878016504374
AT3G07150.1	Q9SFU5	3	not observed		21.8430845	-0.3155778894472362	9.491245079040528	94.31	175.5173	amino acid-ligase	0.4677630147314046
AT3G07273.1	B3H7J7	3	not observed		7.98923	-0.06	9.3528959274292	99.82	880.1709	hypothetical protein	0.80278141355378
AT3G07350.1	Q9SRT1	3	not observed		33.11781690000004	-0.3973154362416111	5.526307487487792	99.63	379.6279	sulfate/thiosulfate import ATP-binding protein%2C putative (DUF506)	0.9270589723641248
AT3G07380.1	Q9SRS8	3	not observed		11.972698299999989	-0.4009803921568628	7.844787025451661	37.86	12.4667	glycosyltransferase family protein (DUF23)	0.0358229481390935
AT3G07425.1	Q3EBA9	3	not observed		11.525888799999992	-0.2510204081632654	11.999967765808105	60.13	27.8344	transmembrane protein	0.0001703224208967496
AT3G07520.1	GLR14	3	not observed		97.7591525000005	-0.0747967479674798	8.896137428283694	99.79	62.7607	glutamate receptor 1.4	0.9668658100149313
AT3G07522.1	B3H7J9	3	not observed		4.423030299999999	0.7047619047619048	4.0500284194946286	35.47	105.1318	hypothetical protein	0.0005127502227627132
AT3G07525.1	ATG10	3	not observed		25.621010300000016	-0.0719999999999999	4.9243257522583	99.89	43.4045	autophagocytosis-associated family protein	0.9295337589594482
AT3G07710.1	Q9S6Z9	3	not observed		16.4559923	-1.029655172413793	4.87498950958252	9.43	29.6273	hypothetical protein	0.053752246359244235
AT3G07760.1	Q93VV3	3	not observed		14.819028299999989	-0.3743999999999997	9.3652738571167	100.0	603.1953	Sterile alpha motif (SAM) domain-containing protein	0.9451715697617158
AT3G07870.1	FB135	3	not observed		47.68126589999997	-0.3498800959232612	9.14646816253662	99.24	219.2311	F-box and associated interaction domains-containing protein	0.9122878844769935
AT3G07930.1	MBD4L	3	not observed		40.2594022	-0.8213068181818194	7.995965385437011	99.91	81.6762	DNA glycosylase superfamily protein	0.9376528060275445
AT3G08000.1	Q9SFB4	3	not observed		15.613657199999988	-0.2062937062937063	9.831638145446776	99.49	163.3358	RNA-binding (RRM/RBD/RNP motifs) family protein	0.7831704434578116
AT3G08490.1	Q9C6U2	3	not observed		31.21629180000004	-0.1933579335793361	7.799078941345216	80.26	240.7335	delta-latroinsectotoxin-Lt1a protein	0.6751301441651106
AT3G08520.1		3	not observed		3.4283049000000005	-2.624	11.999967765808105	99.98	9497.6513	Ribosomal protein L41 family	0.19874709060765125
AT3G08636.1	B3H7E3	3	not observed		6.827133199999999	0.2254237288135592	8.93140163421631	12.16	54.9792	hypothetical protein	0.028385816261404306
AT3G08750.1	FB136	3	not observed		43.03603760000005	-0.1888888888888889	5.038231086730956	18.26	41.6111	F-box and associated interaction domains-containing protein	0.33873902745097567
AT3G09110.1	Q5S4V1	3	not observed		38.589355700000034	-0.0032069970845481	6.200474739074706	22.99	86.3845	hypothetical protein (DUF674)	0.6314253923851186
AT3G09160.1	F4IZU8	3	not observed		14.747222799999989	-0.456818181818182	4.529294776916504	88.6	52.6258	RNA-binding (RRM/RBD/RNP motifs) family protein	0.1371862712017317
AT3G09162.1	Q8GYI0	3	not observed		7.3635042	0.3106060606060605	7.813261985778809	87.31	50.0505	hypothetical protein	0.028787947596166718
AT3G09190.1	F4IZV1	3	not observed		38.41594620000004	0.0794202898550724	6.4685274124145495	99.67	409.3726	Concanavalin A-like lectin family protein	0.9534455086062336
AT3G09280.1	Q9SR35	3	not observed		12.397006599999983	-0.2151785714285712	6.36877498626709	53.53	104.3523	transmembrane protein	0.23892681529786428
AT3G09340.1	AVT1F	3	not observed		57.45146910000006	0.6265151515151521	4.760004234313963	21.79	72.7561	Transmembrane amino acid transporter family protein	0.47573140385198065
AT3G09380.1	AEL2	3	not observed		16.989217099999987	-0.5046979865771815	6.295793724060059	17.4	142.4046	MIP18 family protein	0.39872488547566404
AT3G09450.1	Q9S710	3	not observed		85.68287380000058	0.2170322580645174	8.695447349548338	84.96	147.1708	fusaric acid resistance family protein	0.9055030249492667
AT3G09455.1	OST4C	3	not observed		4.1327946	0.974285714285714	4.218840217590333	99.61	268.2657	dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit	0.00031546719364467586
AT3G09510.1	Q9SF52	3	not observed		55.74585540000009	-0.4547520661157017	9.366369819641116	1.34	0.5973	Ribonuclease H-like superfamily protein	0.0217366000871005
AT3G09520.1	Q9SF51	3	not observed		70.9915801000003	-0.2186305732484078	6.242876625061036	94.13	116.2176	exocyst subunit exo70 family protein H4	0.961803544663995
AT3G09590.1	Q9SF44	3	not observed		21.210968900000005	-0.5166666666666668	9.578664207458496	46.55	367.9923	CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein	0.6126007512657454
AT3G09750.1	F4J1B0	3	not observed		18.3730488	-0.2590062111801242	9.210356330871583	22.72	9.8715	Galactose oxidase/kelch repeat superfamily protein	0.025403773820150247
AT3G09863.1	B3H546	3	not observed		4.7533693	-0.2651162790697675	5.998071098327636	50.27	119.1505	hypothetical protein	0.07167920441324027
AT3G09870.1	Q9SF89	3	not observed		13.12421349999999	-0.3672566371681414	8.30277042388916	70.54	361.376	SAUR-like auxin-responsive protein family	0.5442315399910591
AT3G09922.1		3	not observed		9.01060439999999	0.5599999999999998	8.752759742736817	55.56	12261.436	induced by phosphate starvation1	0.33730179912939046
AT3G09990.1	ENT2	3	not observed		45.675430399999954	0.6244604316546768	9.12100315093994	6.52	21.165	Nucleoside transporter family protein	0.10871410747143646
AT3G10113.1	RVE7L	3	not observed		37.60469720000006	-0.7258928571428575	7.051354408264159	56.46	17.724	Homeodomain-like superfamily protein	0.1753581335762558
AT3G10116.1	F4J2J7	3	not observed		19.4867117	-0.4382352941176474	5.126672554016112	41.57	254.9343	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family	0.6748074849811623
AT3G10195.1	DF311	3	not observed		8.87056789999999	0.2728395061728394	8.966794776916508	9.41	308.4863	Putative membrane lipoprotein	0.6023636432861603
AT3G10240.1	FB137	3	not observed		45.40156490000007	-0.3737789203084835	8.919990730285647	13.59	9.1288	F-box and associated interaction domains-containing protein	0.06339589467685883
AT3G10430.1	FB138	3	not observed		43.12568680000001	-0.3483783783783787	5.221479988098143	28.94	73.5347	F-box and associated interaction domains-containing protein	0.6138331663852252
AT3G10439.1	B3H4C6	3	not observed		3.8886338	0.028125	10.047865104675292	1.48	10.5807	hypothetical protein	1.801059759925398e-05
AT3G10440.1	SGO1	3	not observed		63.94504190000029	-0.9910839160839156	9.25361461639404	99.88	45.652	Shugoshin C terminus	0.9446630308713301
AT3G10510.1	FBK53	3	not observed		42.32340319999998	-0.1420485175202159	5.160378074645995	45.85	142.0413	Galactose oxidase/kelch repeat superfamily protein	0.6654012200483814
AT3G10580.1	Q9SQY8	3	not observed		32.737927700000014	-0.8630662020905924	5.381993293762207	15.23	99.8676	Homeodomain-like superfamily protein	0.47482566919362307
AT3G10595.1	Q9LPN9	3	not observed		21.048335	-0.5349726775956286	4.9607027053833	5.94	293.1768	Duplicated homeodomain-like superfamily protein	0.6416332334301125
AT3G10600.1	CAAT7	3	not observed		63.70146380000023	0.6291095890410965	6.331261253356933	87.36	67.4899	cationic amino acid transporter 7	0.8865485381438004
AT3G10605.1	A0A1I9LM43	3	not observed		6.362103800000001	-1.072222222222222	10.720205879211427	87.18	30.1851	hypothetical protein	0.0013066467297826725
AT3G10750.1	Q9SG81	3	not observed		33.80678310000002	-0.0207357859531772	6.532698631286621	71.97	14.2083	FBD domain family	0.18859122117094676
AT3G10790.1	FB139	3	not observed		37.04342300000005	-0.1605015673981192	8.2347562789917	18.97	17.8104	F-box associated ubiquitination effector family protein	0.09847406293873895
AT3G10815.1	Q8L729	3	not observed		23.166142500000003	-0.7723618090452262	9.419685173034669	86.8	276.4083	RING/U-box superfamily protein	0.5968404308495345
AT3G10820.1	A0A2H1ZEG7	3	not observed		44.305374300000096	-0.8152284263959387	6.363716316223144	99.95	127.4844	Transcription elongation factor (TFIIS) family protein	0.980555605891222
AT3G10845.1	F4J4Y8	3	not observed		48.127803900000025	-0.6281323877068545	5.274510765075683	42.46	8.3371	RNA-binding (RRM/RBD/RNP motifs) family protein	0.35117073019280265
AT3G10910.1	ATL72	3	not observed		19.5996765	0.0944751381215469	8.615313148498537	97.41	294.7034	RING/U-box superfamily protein	0.7597396777732063
AT3G10930.1	Q84TK4	3	not observed		12.087003899999983	0.1316831683168318	10.014148139953612	95.21	2058.8877	hypothetical protein	0.42677961688497196
AT3G10974.1	B3H5I4	3	not observed		4.501261599999999	0.0829268292682927	6.672124671936037	2.31	21.1789	hypothetical protein	0.014446586495325327
AT3G10986.1	LOR9	3	not observed		22.5454785	-0.1426395939086294	6.745958518981935	80.66	84.642	LURP-one-like protein (DUF567)	0.4025633287461045
AT3G10990.1	Q9SRL0	3	not observed		20.31935380000001	-0.0819209039548022	5.283775520324705	3.21	6.6895	F-box associated ubiquitination effector family protein	0.04007156270808298
AT3G11020.1	DRE2B	3	not observed		37.11655670000002	-0.9054545454545456	5.0173143386840815	95.73	91.0518	DRE/CRT-binding protein 2B	0.5472450740587982
AT3G11060.1	Q9C782	3	not observed		23.987906100000007	0.5741784037558679	7.627303886413575	5.52	29.1664	transmembrane protein	0.11549797754182983
AT3G11120.1		3	not observed		3.4283049000000005	-2.624	11.999967765808105	99.98	8758.5573	Ribosomal protein L41 family	0.19874709060765125
AT3G11160.1	Q6E257	3	not observed		17.5660599	-0.8206896551724139	9.709857368469237	45.16	83.6318	transmembrane protein	0.09469518836798134
AT3G11165.1	F4J668	3	not observed		17.154465300000002	-0.4092715231788083	9.467520713806152	54.49	88.3271	hypothetical protein	0.16674189308376405
AT3G11300.1	F4J687	3	not observed		23.77104070000001	-0.343269230769231	8.77048854827881	1.9	3.342	hypothetical protein	0.04619730876587065
AT3G11350.1	Q9CAY8	3	not observed		41.643442500000006	-0.5261838440111422	8.808009147644043	17.01	9.074	Pentatricopeptide repeat (PPR) superfamily protein	0.0801485783302613
AT3G11370.1	Q9CAY7	3	not observed		68.17060720000022	-0.3677419354838708	7.991259193420411	40.58	75.803	Cysteine/Histidine-rich C1 domain family protein	0.6013376941301055
AT3G11385.1	Q3EB87	3	not observed		88.34538310000056	-0.6637075718015648	8.879311180114748	47.61	58.5731	Cysteine/Histidine-rich C1 domain family protein	0.6558789893065358
AT3G11390.1	Q9CAY5	3	not observed		82.37743680000045	-0.5399999999999983	7.330206489562988	71.25	53.5389	Cysteine/Histidine-rich C1 domain family protein	0.8197283454970953
AT3G11402.1	Q3EB86	3	not observed		81.6921869000005	-0.4642655367231621	8.2972261428833	98.48	44.1617	Cysteine/Histidine-rich C1 domain family protein	0.9538495859046049
AT3G11405.1	Q58FW2	3	not observed		17.366123999999996	-0.388961038961039	4.328937339782716	21.43	5.6183	hypothetical protein	0.022071215501841542
AT3G11440.1	MYB65	3	not observed		61.36476400000028	-0.623327305605786	6.059798240661621	99.89	30.0604	myb domain protein 65	0.9586261888773406
AT3G11591.1	Q1G3M6	3	not observed		7.152266300000001	0.165079365079365	10.507073402404783	93.48	62.2032	bric-a-brac protein	0.001158120491072665
AT3G11600.1	GIR2	3	not observed		13.03975509999998	-0.6623931623931629	9.329236030578612	99.89	254.778	E3 ubiquitin-protein ligase	0.921310079435404
AT3G11640.1	Q9SRN2	3	not observed		20.72923729999999	0.0467741935483868	4.155976295471191	96.03	30.913	transmembrane protein	0.08268983815712008
AT3G11680.1	ALMT8	3	not observed		54.39960980000004	0.0319672131147538	8.931208229064943	31.99	40.2036	aluminum activated malate transporter family protein	0.2513611909128645
AT3G11860.1	Q9SF13	3	not observed		28.82748320000001	-0.4480158730158732	5.935661888122559	88.86	10.6058	sterile alpha motif (SAM) domain protein	0.2461285571565519
AT3G11870.1	IRE1L	3	not observed		63.25920870000013	-0.4536101083032485	8.948421287536622	16.13	5.3044	Endoribonuclease/protein kinase IRE1-like protein	0.08305972754984373
AT3G11920.1	Q9SF07	3	not observed		72.57588340000034	-0.4895238095238082	7.272855949401856	39.7	51.1209	glutaredoxin-like protein	0.5044745228132714
AT3G12190.1	Q9LHI8	3	not observed		32.63218340000005	-1.342379182156132	9.57292652130127	19.34	23.3591	golgin family A protein	0.15123416763468592
AT3G12420.1	F4J9R7	3	not observed		21.011163900000003	-0.5902702702702707	5.875696754455566	12.82	56.0074	Polynucleotidyl transferase%2C ribonuclease H-like superfamily protein	0.21814815969355586
AT3G12470.1	Q9LHG1	3	not observed		25.356337400000022	-0.1327272727272727	9.788766670227048	41.44	98.5166	Polynucleotidyl transferase%2C ribonuclease H-like superfamily protein	0.3337335273961179
AT3G12545.1	F4J9T2	3	not observed		19.060936100000013	-0.0639053254437871	9.490213584899902	8.02	5.1731	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	0.02143699082075773
AT3G12587.1	OST4A	3	not observed		4.196771000000001	0.6783783783783783	4.0500284194946286	99.89	144.4752	Oligosaccaryltransferase	0.0014036093742683178
AT3G12820.1	MYB10	3	not observed		27.3162734	-0.7656903765690382	7.040782356262207	94.24	154.3073	myb domain protein 10	0.6527924395953788
AT3G12833.1	A0A1I9LQT8	3	not observed		7.5037218	-0.1348484848484848	8.687259864807132	71.32	27.5191	hypothetical protein	0.012240573705032362
AT3G12840.1	FBD8	3	not observed		20.664155400000016	-0.1324022346368714	9.440508460998537	36.01	39.7424	F-box/FBD-like domain protein	0.09275983358769846
AT3G12850.1	F4JAZ8	3	not observed		42.19103680000006	-0.345231607629428	5.688980674743653	7.16	41.1037	COP9 signalosome complex-related / CSN complex-like protein	0.1850544124540477
AT3G12890.1	Q9LDL9	3	not observed		28.86026350000004	-0.925896414342629	5.532275581359862	71.04	132.0364	activator of spomin::LUC2	0.33717590183055235
AT3G12910.1	Q9LSI4	3	not observed		35.197959200000064	-0.8858085808580859	8.612798881530765	70.02	419.9096	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	0.6180451927469995
AT3G12955.1	Q9LSI2	3	not observed		16.3016911	-0.5187050359712233	7.746893119812013	86.94	266.7474	SAUR-like auxin-responsive protein family	0.5610187697414653
AT3G13075.1	A0A1I9LPQ3	3	not observed		10.836594899999987	-0.8989247311827958	10.751279640197756	0.99	3.0771	hypothetical protein	0.0004888365265885218
AT3G13130.1	Q9LK60	3	not observed		23.15972100000001	-0.4716417910447762	4.4508569717407225	67.35	186.1193	transmembrane protein	0.43653478070743695
AT3G13140.1	Q9LK59	3	not observed		20.358688699999995	-0.6393442622950816	8.74018840789795	54.47	14.7711	hydroxyproline-rich glycoprotein family protein	0.07197005344843131
AT3G13170.1	SPO11	3	not observed		41.80326940000007	-0.1475138121546961	7.905064964294434	94.22	75.2522	Spo11/DNA topoisomerase VI%2C subunit A protein	0.7498612772542327
AT3G13228.1	Q9LTU8	3	not observed		36.43192980000002	-0.0538461538461538	4.494111442565917	5.45	16.9277	RING/U-box superfamily protein	0.05998392870054506
AT3G13240.1	F4JC89	3	not observed		5.2828753	-0.652083333333333	5.15423946380615	74.21	106.4167	hypothetical protein	0.08149492728757483
